Consecutivo;Tipo_entidad;Codigo_Entidad;Fecha_Corte;  Area;Tipo_Informe;CIDT        ;Codigo_Formato;Codigo_Clase;Codigo_Grupo;Codigo_Cuenta;Cod_SubCuenta;COL0                ;COL1                ;COL2
        362;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;           34;1142565007.00       ;979935467.00        ;162629540.00
        498;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           65;5946329.43          ;5946329.43          ;?
        433;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           55;           70;3798186383.43       ;3798186383.43       ;?
        799;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           64;45183613.25         ;45183613.25         ;?
         49;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           86;           30;2380652.00          ;2380652.00          ;?
        788;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           29;           17;22498004000.00      ;22498004000.00      ;?
         45;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           5;            7;           10;102282640.00        ;102282640.00        ;?
        118;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           85;           26;19569.00            ;19569.00            ;?
        523;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           32;           56;410128054.00        ;410128054.00        ;?
         25;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           28;50722.00            ;50722.00            ;?
        223;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;           14;4427627864.55       ;4427627864.55       ;?
          1;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           36;           25;72828149.00         ;72828149.00         ;?
         74;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           9;           60;           95;2183135065.99       ;?                   ;2183135065.99
        451;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           3;           8;           15;           55;153161421438.69     ;153161421438.69     ;?
        414;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;            8;21812032.00         ;21812032.00         ;?
        334;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           4;            4;           45;3762883186.00       ;3762883186.00       ;?
        641;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           46;3194060449.17       ;3194060449.17       ;?
        856;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            5;           36;1182622.00          ;1182622.00          ;?
        657;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           20;           13;1693112669.00       ;1693112669.00       ;?
        764;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           32;           58;921725467.10        ;921725467.10        ;?
        171;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           86;           12;53368380.00         ;53368380.00         ;?
        234;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           84;            4;44625168026.82      ;44625168026.82      ;?
